person_age,person_gender,person_education,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,person_income_log
22.0,female,Master,0,RENT,35000.0,PERSONAL,16.02,0.49,3.0,561,No,1,11.183712813678275
21.0,female,High School,0,OWN,1000.0,EDUCATION,11.14,0.08,2.0,504,Yes,0,9.415971471539095
25.0,female,High School,3,MORTGAGE,5500.0,MEDICAL,12.87,0.44,3.0,635,No,1,9.428591977209965
23.0,female,Bachelor,0,RENT,35000.0,MEDICAL,15.23,0.44,2.0,675,No,1,11.286702176129095
24.0,male,Master,1,RENT,35000.0,MEDICAL,14.27,0.53,4.0,586,No,1,11.099468506932512
21.0,female,High School,0,OWN,2500.0,VENTURE,7.14,0.19,2.0,532,No,1,9.469005495357472
26.0,female,Bachelor,1,RENT,35000.0,EDUCATION,12.42,0.37,3.0,701,No,1,11.445417205187468
24.0,female,High School,5,RENT,35000.0,MEDICAL,11.11,0.37,4.0,585,No,1,11.467415415338404
24.0,female,Associate,3,RENT,35000.0,PERSONAL,8.9,0.35,2.0,544,No,1,11.519752110312506
21.0,female,High School,0,OWN,1600.0,VENTURE,14.74,0.13,3.0,640,No,1,9.452501929126154
22.0,female,High School,0,RENT,35000.0,VENTURE,10.37,0.34,4.0,621,No,1,11.542348335643398
21.0,female,Associate,0,OWN,4500.0,HOMEIMPROVEMENT,8.63,0.34,2.0,651,No,1,9.481435640823564
23.0,male,Bachelor,3,RENT,35000.0,VENTURE,7.9,0.3,2.0,573,No,1,11.651477980631476
26.0,male,Master,0,RENT,35000.0,EDUCATION,18.39,0.27,4.0,708,No,1,11.780767009407606
23.0,female,Associate,0,RENT,35000.0,EDUCATION,7.9,0.25,4.0,583,No,0,11.842222017842346
23.0,female,Master,5,MORTGAGE,30000.0,DEBTCONSOLIDATION,10.65,0.05,3.0,670,Yes,0,13.306170496870108
23.0,male,Bachelor,0,RENT,35000.0,EDUCATION,7.9,0.24,4.0,663,No,0,11.88410273990907
23.0,female,High School,0,RENT,35000.0,MEDICAL,20.0,0.31,4.0,694,No,1,11.620613270387146
23.0,male,Bachelor,0,RENT,35000.0,DEBTCONSOLIDATION,18.25,0.26,4.0,709,No,1,11.825024502268935
24.0,female,Master,1,MORTGAGE,1750.0,EDUCATION,10.99,0.12,2.0,679,No,1,9.566895308714338
25.0,male,Bachelor,0,RENT,35000.0,VENTURE,7.49,0.18,4.0,684,Yes,0,12.184435236050135
25.0,male,High School,4,RENT,34800.0,PERSONAL,16.77,0.21,2.0,662,No,0,12.018495301250445
22.0,female,Master,0,RENT,34000.0,EDUCATION,17.58,0.43,4.0,691,No,1,11.280438398652866
24.0,female,Bachelor,0,OWN,1500.0,PERSONAL,7.29,0.11,3.0,600,Yes,0,9.537267195753865
22.0,male,Bachelor,1,RENT,33950.0,PERSONAL,14.54,0.35,4.0,691,No,1,11.486797072140535
24.0,female,High School,0,RENT,33000.0,HOMEIMPROVEMENT,12.68,0.4,3.0,654,No,1,11.319874553963189
21.0,female,Associate,0,MORTGAGE,4575.0,VENTURE,17.74,0.32,3.0,626,No,1,9.56724528946897
23.0,male,High School,0,OWN,1400.0,PERSONAL,9.32,0.1,3.0,607,No,0,9.567595147779924
24.0,female,Bachelor,1,RENT,32500.0,HOMEIMPROVEMENT,9.99,0.41,3.0,700,No,1,11.277899091744246
21.0,female,Bachelor,0,OTHER,4000.0,EDUCATION,12.84,0.27,2.0,553,No,1,9.615071877730596
21.0,male,High School,0,OWN,2000.0,MEDICAL,11.12,0.13,3.0,589,No,1,9.606361021256347
25.0,male,Bachelor,1,RENT,32000.0,VENTURE,6.62,0.22,2.0,586,Yes,0,11.88349542450048
26.0,male,Bachelor,2,RENT,31050.0,HOMEIMPROVEMENT,14.17,0.27,3.0,681,No,1,11.649604398885447
25.0,female,High School,3,RENT,24250.0,DEBTCONSOLIDATION,13.85,0.07,3.0,567,Yes,0,12.816153384871809
26.0,female,Associate,1,MORTGAGE,7800.0,MEDICAL,13.49,0.02,4.0,669,No,0,12.796846510969468
21.0,male,Associate,0,OWN,2500.0,EDUCATION,7.51,0.17,4.0,600,No,1,9.625821815359835
22.0,female,Bachelor,0,RENT,30000.0,EDUCATION,18.39,0.51,2.0,606,No,1,10.983069915297433
24.0,male,High School,3,RENT,30000.0,DEBTCONSOLIDATION,14.54,0.38,3.0,582,No,1,11.264810199620461
25.0,male,Bachelor,4,RENT,30000.0,HOMEIMPROVEMENT,16.89,0.33,4.0,649,No,1,11.416260367679627
23.0,female,High School,0,RENT,30000.0,DEBTCONSOLIDATION,11.01,0.35,4.0,602,No,1,11.371500139940876
26.0,male,Bachelor,5,RENT,30000.0,MEDICAL,17.99,0.4,2.0,616,No,1,11.231940913966168
24.0,female,High School,0,OWN,2500.0,VENTURE,12.69,0.17,3.0,631,No,1,9.621323560768252
26.0,male,Bachelor,5,MORTGAGE,20000.0,VENTURE,7.88,0.06,4.0,684,Yes,0,12.797447310299804
23.0,male,High School,0,OWN,24250.0,EDUCATION,19.41,0.07,2.0,637,Yes,0,12.798150091849449
26.0,male,Master,5,OWN,10000.0,HOMEIMPROVEMENT,10.38,0.03,4.0,649,No,0,12.795749190150756
26.0,male,Bachelor,5,MORTGAGE,25000.0,EDUCATION,15.33,0.07,3.0,695,Yes,0,12.796572293629735
